MaNguoiDung,TenDangNhap,MatKhau,VaiTro
214,090028@gmail.com,mshs090028,HocSinh
215,090029@gmail.com,mshs090029,HocSinh
216,090030@gmail.com,mshs090030,HocSinh
217,090031@gmail.com,mshs090031,HocSinh
218,090032@gmail.com,mshs090032,HocSinh
219,090033@gmail.com,mshs090033,HocSinh
220,090034@gmail.com,mshs090034,HocSinh
221,090035@gmail.com,mshs090035,HocSinh
222,090036@gmail.com,mshs090036,HocSinh
223,090037@gmail.com,mshs090037,HocSinh
224,090038@gmail.com,mshs090038,HocSinh
225,090039@gmail.com,mshs090039,HocSinh
226,090040@gmail.com,mshs090040,HocSinh
227,090041@gmail.com,mshs090041,HocSinh
228,090042@gmail.com,mshs090042,HocSinh
229,090043@gmail.com,mshs090043,HocSinh
230,090044@gmail.com,mshs090044,HocSinh
231,090045@gmail.com,mshs090045,HocSinh
232,090046@gmail.com,mshs090046,HocSinh
233,090047@gmail.com,mshs090047,HocSinh
234,090048@gmail.com,mshs090048,HocSinh
235,090049@gmail.com,mshs090049,HocSinh
236,090050@gmail.com,mshs090050,HocSinh
237,090051@gmail.com,mshs090051,HocSinh
238,090052@gmail.com,mshs090052,HocSinh
239,090053@gmail.com,mshs090053,HocSinh
240,090054@gmail.com,mshs090054,HocSinh
241,090055@gmail.com,mshs090055,HocSinh
242,090056@gmail.com,mshs090056,HocSinh
243,090057@gmail.com,mshs090057,HocSinh
244,090058@gmail.com,mshs090058,HocSinh
245,090059@gmail.com,mshs090059,HocSinh
246,090060@gmail.com,mshs090060,HocSinh
247,090061@gmail.com,mshs090061,HocSinh
248,090062@gmail.com,mshs090062,HocSinh
249,090063@gmail.com,mshs090063,HocSinh
250,090064@gmail.com,mshs090064,HocSinh
251,090065@gmail.com,mshs090065,HocSinh
252,090066@gmail.com,mshs090066,HocSinh
253,090067@gmail.com,mshs090067,HocSinh
254,090068@gmail.com,mshs090068,HocSinh
255,090069@gmail.com,mshs090069,HocSinh
256,090070@gmail.com,mshs090070,HocSinh
257,090071@gmail.com,mshs090071,HocSinh
258,090072@gmail.com,mshs090072,HocSinh
259,090073@gmail.com,mshs090073,HocSinh
260,090074@gmail.com,mshs090074,HocSinh
261,090075@gmail.com,mshs090075,HocSinh
262,090076@gmail.com,mshs090076,HocSinh
263,090077@gmail.com,mshs090077,HocSinh
264,090078@gmail.com,mshs090078,HocSinh
265,090079@gmail.com,mshs090079,HocSinh
266,090080@gmail.com,mshs090080,HocSinh
267,090081@gmail.com,mshs090081,HocSinh
268,090082@gmail.com,mshs090082,HocSinh
269,090083@gmail.com,mshs090083,HocSinh
270,090084@gmail.com,mshs090084,HocSinh
271,090085@gmail.com,mshs090085,HocSinh
272,090086@gmail.com,mshs090086,HocSinh
273,090087@gmail.com,mshs090087,HocSinh
274,090088@gmail.com,mshs090088,HocSinh
275,090089@gmail.com,mshs090089,HocSinh
276,090090@gmail.com,mshs090090,HocSinh
277,090091@gmail.com,mshs090091,HocSinh
278,090092@gmail.com,mshs090092,HocSinh
279,090093@gmail.com,mshs090093,HocSinh
280,090094@gmail.com,mshs090094,HocSinh
281,090095@gmail.com,mshs090095,HocSinh
282,090096@gmail.com,mshs090096,HocSinh
283,090097@gmail.com,mshs090097,HocSinh
284,090098@gmail.com,mshs090098,HocSinh
285,090099@gmail.com,mshs090099,HocSinh
286,090100@gmail.com,mshs090100,HocSinh
287,090101@gmail.com,mshs090101,HocSinh
288,090102@gmail.com,mshs090102,HocSinh
289,090103@gmail.com,mshs090103,HocSinh
290,090104@gmail.com,mshs090104,HocSinh
291,090105@gmail.com,mshs090105,HocSinh
292,090106@gmail.com,mshs090106,HocSinh
293,090107@gmail.com,mshs090107,HocSinh
294,090108@gmail.com,mshs090108,HocSinh
295,090109@gmail.com,mshs090109,HocSinh
296,090110@gmail.com,mshs090110,HocSinh
297,090111@gmail.com,mshs090111,HocSinh
298,090112@gmail.com,mshs090112,HocSinh
299,090113@gmail.com,mshs090113,HocSinh
300,090114@gmail.com,mshs090114,HocSinh
301,090115@gmail.com,mshs090115,HocSinh
302,090116@gmail.com,mshs090116,HocSinh
303,090117@gmail.com,mshs090117,HocSinh
304,090118@gmail.com,mshs090118,HocSinh
305,090119@gmail.com,mshs090119,HocSinh
306,090120@gmail.com,mshs090120,HocSinh
307,090121@gmail.com,mshs090121,HocSinh
308,090122@gmail.com,mshs090122,HocSinh
309,090123@gmail.com,mshs090123,HocSinh
310,090124@gmail.com,mshs090124,HocSinh
311,090125@gmail.com,mshs090125,HocSinh
312,090126@gmail.com,mshs090126,HocSinh
313,090127@gmail.com,mshs090127,HocSinh
314,090128@gmail.com,mshs090128,HocSinh
315,090129@gmail.com,mshs090129,HocSinh
316,090130@gmail.com,mshs090130,HocSinh
317,090131@gmail.com,mshs090131,HocSinh
318,090132@gmail.com,mshs090132,HocSinh
319,090133@gmail.com,mshs090133,HocSinh
320,090134@gmail.com,mshs090134,HocSinh
321,090135@gmail.com,mshs090135,HocSinh
322,090136@gmail.com,mshs090136,HocSinh
323,090137@gmail.com,mshs090137,HocSinh
324,090138@gmail.com,mshs090138,HocSinh
325,090139@gmail.com,mshs090139,HocSinh
326,090140@gmail.com,mshs090140,HocSinh
327,090141@gmail.com,mshs090141,HocSinh
328,090142@gmail.com,mshs090142,HocSinh
329,090143@gmail.com,mshs090143,HocSinh
330,090144@gmail.com,mshs090144,HocSinh
331,090145@gmail.com,mshs090145,HocSinh
332,090146@gmail.com,mshs090146,HocSinh
333,090147@gmail.com,mshs090147,HocSinh
334,090148@gmail.com,mshs090148,HocSinh
335,gv001@school.edu.vn,nguyenvanan,GiaoVien
336,gv002@school.edu.vn,tranthibinh,GiaoVien
337,gv003@school.edu.vn,leminhcuong,GiaoVien
338,gv004@school.edu.vn,phamthudung,GiaoVien
339,gv005@school.edu.vn,voquocdung,GiaoVien
340,gv006@school.edu.vn,dinhhaidang,GiaoVien
341,gv007@school.edu.vn,buithanhhoa,GiaoVien
342,gv008@school.edu.vn,phankieulan,GiaoVien
343,gv009@school.edu.vn,hoangmaily,GiaoVien
344,gv010@school.edu.vn,ngoducmanh,GiaoVien
345,gv011@school.edu.vn,doanmyngoc,GiaoVien
346,gv012@school.edu.vn,tabaonam,GiaoVien
347,gv013@school.edu.vn,nguyenthioanh,GiaoVien
348,gv014@school.edu.vn,lamthanhphat,GiaoVien
349,gv015@school.edu.vn,huynhminhphuong,GiaoVien
350,gv016@school.edu.vn,truonggiaquan,GiaoVien
351,gv017@school.edu.vn,vuhongquyen,GiaoVien
352,gv018@school.edu.vn,phungnhatquynh,GiaoVien
353,gv019@school.edu.vn,nguyenhoaison,GiaoVien
354,gv020@school.edu.vn,dangtuyetsuong,GiaoVien
355,gv021@school.edu.vn,phamhongthai,GiaoVien
356,gv022@school.edu.vn,dothanhtrang,GiaoVien
357,gv023@school.edu.vn,tranductri,GiaoVien
358,gv024@school.edu.vn,nguyencattuong,GiaoVien
359,gv025@school.edu.vn,caominhtuan,GiaoVien
360,gv026@school.edu.vn,hophuonguyen,GiaoVien
361,gv027@school.edu.vn,lybaovy,GiaoVien
362,ht@school.edu.vn,hieutruong,BGH
363,hp@school.edu.vn,hieupho,BGH
364,gt@school.edu.vn,giamthi,BGH
365,gv@school.edu.vn,giaovu,GiaoVu
